"22",2,NA,6110,NA,39,122,NA,NA,9,2,NA,NA,NA,NA,NA,NA,9,NA,427,10,2,5,NA,5,57,18,NA,NA,1538,560,NA,2,16,269,1,NA,15,NA,NA,NA,1,10,NA,6,2,1,NA,36,75,11,NA,NA,234,NA,77,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,185,20,NA,11,NA,NA,NA,NA,NA,7,8,NA,NA,NA,1,23,69,3,NA,115,46,NA,NA,NA,134,23,628,NA,NA,1,4,NA,NA,NA,NA,11,NA,NA,NA,2006-07-22,"W"
"23",2,2,12692,NA,294,113,1,NA,88,5,NA,NA,NA,NA,NA,NA,NA,24,940,305,26,25,62,6,2,2,NA,NA,603,24,NA,NA,133,45,5,NA,63,NA,NA,16,84,58,NA,21,2,86,7,62,9,1,NA,4,173,NA,294,NA,NA,1,NA,NA,NA,37,NA,NA,28,NA,NA,102,13,NA,36,130,NA,111,NA,NA,34,171,NA,5,NA,NA,73,15,NA,24,67,370,NA,27,19,NA,NA,29,69,NA,159,355,NA,NA,35,NA,19,NA,3,NA,2007-01-27,"S"
"24",NA,NA,4970,NA,99,299,3,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,11,191,28,NA,7,3,2,60,NA,NA,NA,9,13,NA,NA,NA,20,2,NA,193,NA,NA,12,5,34,NA,20,1,5,1,NA,3,NA,NA,NA,319,NA,12,NA,NA,NA,NA,NA,9,7,NA,NA,96,NA,NA,176,36,NA,7,NA,NA,134,NA,NA,57,130,NA,55,NA,1,144,68,NA,40,80,726,NA,16,2,22,3,12,316,NA,66,32,NA,NA,8,NA,NA,NA,NA,NA,2008-01-26,"S"
"25",NA,NA,1373,NA,20,81,1,NA,30,NA,NA,NA,5,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,4,101,78,NA,NA,3369,234,NA,72,21,138,1,NA,48,NA,NA,NA,1,11,NA,4,1,1,2,2,NA,1,NA,31,138,2,16,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,185,37,NA,14,NA,NA,NA,NA,NA,NA,95,NA,NA,1,2,10,5,1,4,55,2,NA,NA,8,63,NA,64,8,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,2008-07-19,"W"
"26",NA,NA,170,NA,53,65,NA,NA,91,2,NA,NA,NA,NA,NA,NA,NA,NA,31,63,6,9,2,3,3,NA,NA,NA,201,17,NA,NA,NA,1,NA,NA,249,NA,NA,4,18,15,7,18,3,14,8,NA,5,NA,NA,NA,280,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,6,NA,NA,311,1,NA,NA,NA,11,254,NA,NA,8,25,NA,NA,NA,1,22,20,NA,7,2,39,NA,29,NA,24,NA,11,79,NA,59,19,2,NA,NA,NA,NA,NA,11,NA,2009-02-07,"S"
"27",2,1,8856,NA,26,39,NA,NA,18,NA,2,NA,1,NA,NA,NA,NA,26,258,1,5,113,NA,4,210,3,NA,NA,3484,400,NA,22,62,274,NA,NA,22,NA,NA,NA,8,18,NA,1,1,10,1,1,9,1,2,12,106,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,38,NA,6,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,33,65,3,7,44,4,NA,2,5,51,NA,52,1,NA,65,NA,NA,NA,NA,NA,69,NA,NA,NA,2009-07-25,"W"
"28",1,NA,2777,NA,35,336,NA,1,130,NA,NA,NA,NA,NA,NA,NA,NA,13,89,14,2,5,NA,NA,51,227,NA,NA,1075,23,NA,NA,4,7,NA,NA,286,NA,1,6,NA,29,NA,4,3,2,NA,NA,1,NA,NA,NA,324,NA,14,NA,NA,NA,1,NA,9,22,NA,1,85,NA,NA,21,53,NA,22,NA,1,43,NA,NA,22,50,NA,1,NA,NA,55,4,NA,28,57,364,NA,15,1,24,NA,23,359,NA,18,14,NA,1,NA,NA,20,NA,4,NA,2010-01-30,"S"
"29",2,NA,9085,120,NA,619,NA,NA,20,NA,NA,NA,NA,1,NA,NA,2,41,2359,123,31,16,19,2,39,23,NA,NA,1555,99,NA,1,3,4,NA,NA,121,NA,NA,NA,5,27,NA,31,NA,7,NA,9,4,NA,NA,NA,145,NA,255,NA,NA,NA,1,NA,NA,3,NA,NA,72,NA,NA,70,8,NA,96,NA,NA,18,NA,NA,NA,10,1,1,NA,2,145,25,NA,61,101,1668,NA,9,56,5,NA,144,106,NA,206,454,NA,NA,NA,NA,15,1,NA,NA,2015-01-31,"S"
"30",1,NA,1785,NA,14,239,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,571,NA,1,NA,NA,NA,78,9,NA,NA,4981,520,NA,17,4,72,NA,NA,27,NA,NA,4,NA,17,NA,21,NA,4,39,NA,4,NA,NA,NA,95,NA,20,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,14,NA,8,NA,NA,15,NA,NA,NA,83,NA,NA,NA,1,10,4,7,4,30,24,NA,NA,1,NA,NA,14,31,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,2015-08-11,"W"
"31",NA,NA,73,NA,2,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,22,18,3,1,NA,2,79,1,NA,NA,534,3,NA,NA,18,4,NA,NA,27,NA,NA,NA,NA,21,NA,3,NA,NA,1,NA,12,NA,NA,NA,83,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,116,5,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,2,NA,27,19,NA,NA,3,NA,16,NA,23,3,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,2016-05-15,"O"
"32",12,NA,307,NA,NA,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,12,511,16,NA,2,NA,6,228,161,1,NA,376,19,NA,NA,3,20,NA,NA,42,1,NA,NA,22,13,NA,3,NA,NA,NA,NA,4,NA,NA,NA,161,1,NA,NA,1,NA,1,NA,NA,2,NA,6,10,NA,NA,84,42,NA,NA,2,NA,20,NA,NA,6,178,NA,NA,NA,NA,183,NA,NA,5,21,713,NA,5,NA,14,NA,37,4,NA,NA,9,NA,NA,NA,NA,10,NA,NA,NA,2016-11-19,"O"
"33",NA,NA,10812,NA,29,194,NA,NA,45,NA,NA,NA,NA,NA,4,NA,NA,338,318,77,22,8,NA,5,855,24,NA,NA,322,30,NA,150,7,26,NA,NA,230,NA,NA,7,9,10,NA,25,NA,6,20,9,41,NA,NA,NA,95,1,121,NA,NA,NA,1,NA,NA,46,NA,NA,11,NA,NA,124,15,NA,684,NA,NA,17,NA,NA,NA,83,NA,NA,NA,NA,37,10,NA,12,87,140,NA,18,4,12,NA,32,147,NA,NA,25,NA,NA,NA,NA,7,NA,NA,NA,2018-02-24,"S"
"34",NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,244,793,1,1,2,NA,3,6,99,NA,NA,973,408,NA,NA,NA,1,NA,NA,17,NA,NA,NA,42,8,NA,21,NA,9,1,NA,2,NA,NA,NA,295,NA,18,NA,NA,NA,1,NA,NA,1,NA,12,8,NA,NA,107,11,NA,904,NA,NA,34,NA,NA,6,374,NA,NA,NA,NA,153,2,NA,11,7,246,NA,1,2,4,NA,374,45,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2018-11-24,"O"
